iter	Passed	Remaining
0	5	5230
1	10	5171
2	15	5093
3	19	4823
4	23	4674
5	29	4825
6	33	4710
7	37	4637
8	42	4663
9	46	4614
10	50	4580
11	55	4573
12	60	4588
13	64	4561
14	68	4530
15	73	4547
16	78	4525
17	82	4491
18	87	4496
19	92	4519
20	96	4499
21	100	4486
22	105	4486
23	110	4480
24	114	4481
25	119	4465
26	124	4473
27	128	4454
28	133	4457
29	138	4462
30	142	4457
31	147	4454
32	151	4439
33	156	4458
34	161	4444
35	165	4428
36	170	4425
37	174	4419
38	178	4405
39	183	4397
40	188	4401
41	192	4391
42	196	4376
43	200	4365
44	205	4369
45	210	4357
46	214	4348
47	219	4356
48	224	4352
49	228	4347
50	234	4358
51	239	4365
52	244	4362
53	248	4360
54	255	4386
55	260	4384
56	265	4386
57	270	4400
58	275	4396
59	280	4399
60	286	4416
61	291	4407
62	296	4406
63	302	4420
64	306	4415
65	311	4412
66	317	4418
67	321	4411
68	326	4410
69	332	4416
70	337	4417
71	342	4412
72	347	4417
73	352	4409
74	357	4407
75	362	4403
76	367	4405
77	372	4398
78	380	4436
79	385	4436
80	390	4427
81	396	4434
82	401	4432
83	406	4428
84	412	4437
85	418	4443
86	422	4436
87	428	4438
88	432	4431
89	437	4419
90	441	4408
91	447	4412
92	451	4403
93	455	4392
94	461	4394
95	465	4383
96	470	4377
97	475	4375
98	480	4375
99	485	4369
100	490	4362
101	495	4361
102	500	4355
103	504	4348
104	510	4348
105	514	4341
106	519	4335
107	525	4338
108	529	4331
109	534	4325
110	539	4319
111	544	4319
112	549	4311
113	554	4308
114	559	4306
115	564	4299
116	569	4297
117	574	4296
118	579	4290
119	584	4283
120	590	4288
121	594	4282
122	599	4275
123	604	4271
124	609	4266
125	614	4260
126	618	4254
127	624	4255
128	629	4252
129	634	4243
130	639	4239
131	643	4234
132	648	4226
133	653	4225
134	658	4217
135	666	4233
136	673	4242
137	680	4247
138	685	4245
139	691	4245
140	695	4238
141	699	4228
142	704	4222
143	708	4213
144	713	4206
145	719	4205
146	723	4197
147	727	4189
148	732	4184
149	737	4181
150	742	4174
151	747	4168
152	752	4166
153	756	4158
154	761	4153
155	767	4152
156	771	4144
157	776	4137
158	781	4133
159	786	4130
160	791	4122
161	795	4114
162	800	4110
163	805	4103
164	811	4105
165	817	4107
166	822	4102
167	828	4103
168	835	4105
169	840	4105
170	845	4100
171	851	4099
172	856	4094
173	862	4092
174	867	4089
175	871	4081
176	876	4075
177	881	4072
178	886	4065
179	891	4059
180	896	4056
181	901	4050
182	905	4043
183	910	4037
184	916	4035
185	920	4027
186	925	4021
187	931	4021
188	935	4015
189	940	4010
190	946	4009
191	951	4004
192	956	4000
193	963	4002
194	968	3997
195	973	3992
196	979	3992
197	984	3987
198	990	3987
199	993	3975
200	998	3970
201	1004	3966
202	1010	3965
203	1015	3962
204	1020	3958
205	1024	3948
206	1029	3942
207	1031	3928
208	1036	3922
209	1041	3917
210	1045	3910
211	1050	3904
212	1054	3897
213	1060	3894
214	1065	3889
215	1069	3882
216	1075	3879
217	1079	3873
218	1084	3867
219	1089	3862
220	1094	3856
221	1098	3850
222	1103	3844
223	1109	3843
224	1113	3836
225	1118	3829
226	1122	3823
227	1127	3816
228	1131	3809
229	1136	3803
230	1141	3799
231	1145	3792
232	1150	3786
233	1155	3782
234	1159	3775
235	1164	3768
236	1170	3769
237	1175	3762
238	1179	3756
239	1184	3750
240	1189	3745
241	1193	3739
242	1198	3733
243	1203	3730
244	1208	3724
245	1213	3718
246	1218	3714
247	1223	3709
248	1228	3704
249	1232	3698
250	1237	3693
251	1242	3687
252	1247	3681
253	1252	3677
254	1256	3670
255	1260	3664
256	1266	3660
257	1270	3654
258	1275	3647
259	1278	3638
260	1282	3630
261	1285	3622
262	1290	3615
263	1293	3606
264	1297	3597
265	1301	3590
266	1305	3582
267	1308	3574
268	1312	3565
269	1316	3558
270	1319	3550
271	1323	3542
272	1327	3534
273	1331	3528
274	1335	3520
275	1339	3512
276	1342	3505
277	1347	3498
278	1350	3491
279	1354	3484
280	1359	3477
281	1364	3475
282	1369	3468
283	1373	3462
284	1377	3455
285	1381	3449
286	1385	3443
287	1390	3436
288	1394	3431
289	1399	3427
290	1404	3421
291	1409	3417
292	1416	3416
293	1420	3411
294	1425	3407
295	1432	3406
296	1437	3402
297	1441	3396
298	1447	3392
299	1451	3387
300	1456	3381
301	1461	3377
302	1465	3370
303	1469	3364
304	1473	3358
305	1478	3352
306	1482	3346
307	1486	3339
308	1490	3332
309	1495	3327
310	1499	3321
311	1503	3314
312	1506	3307
313	1511	3301
314	1516	3296
315	1519	3289
316	1523	3282
317	1527	3275
318	1531	3268
319	1534	3261
320	1538	3254
321	1542	3248
322	1546	3241
323	1549	3233
324	1553	3226
325	1557	3220
326	1561	3213
327	1565	3206
328	1568	3199
329	1573	3194
330	1577	3187
331	1580	3180
332	1584	3173
333	1589	3168
334	1592	3161
335	1596	3154
336	1599	3147
337	1603	3140
338	1607	3134
339	1611	3127
340	1615	3121
341	1618	3114
342	1623	3109
343	1626	3102
344	1630	3094
345	1633	3088
346	1638	3082
347	1641	3075
348	1645	3068
349	1649	3062
350	1652	3056
351	1656	3049
352	1660	3043
353	1664	3036
354	1667	3030
355	1672	3024
356	1675	3018
357	1679	3011
358	1683	3005
359	1687	2999
360	1690	2992
361	1694	2986
362	1698	2979
363	1701	2973
364	1705	2967
365	1708	2960
366	1712	2954
367	1716	2947
368	1720	2942
369	1724	2935
370	1728	2929
371	1731	2923
372	1736	2918
373	1739	2911
374	1743	2905
375	1747	2899
376	1751	2895
377	1755	2889
378	1760	2883
379	1764	2878
380	1768	2873
381	1772	2867
382	1776	2862
383	1780	2856
384	1785	2852
385	1789	2846
386	1793	2841
387	1798	2836
388	1803	2832
389	1807	2826
390	1811	2821
